Precinct_name,Split_name,Reporting_flag,Update_count,Pct_Id,Pct_seq_nbr,Reg_voters,Turn_Out,Contest_Id,Contest_seq_nbr,Contest_title,Contest_party_name,Selectable_Options,candidate_id,candidate_name,Candidate_Type,cand_seq_nbr,Party_Code,total_ballots,total_votes,total_under_votes,total_over_votes,Election Day_ballots,Election Day_votes,Election Day_under_votes,Election Day_over_votes,Mail-in_ballots,Mail-in_votes,Mail-in_under_votes,Mail-in_over_votes,Absentee_ballots,Absentee_votes,Absentee_under_votes,Absentee_over_votes,Provisional_ballots,Provisional_votes,Provisional_under_votes,Provisional_over_votes
Ambler 1,,1,0,1,1,1609,0.86,1,1,Presidential Electors,,1,1,JOSEPH R BIDEN,C,1,DEM,1386,974,4,1,655,356,3,0,715,605,1,1,0,0,0,0,16,13,0,0
Ambler 1,,1,0,1,1,1609,0.86,1,1,Presidential Electors,,1,2,DONALD J TRUMP,C,2,REP,1386,391,4,1,655,285,3,0,715,103,1,1,0,0,0,0,16,3,0,0
Ambler 1,,1,0,1,1,1609,0.86,1,1,Presidential Electors,,1,3,JO JORGENSEN,C,3,LIB,1386,13,4,1,655,9,3,0,715,4,1,1,0,0,0,0,16,0,0,0
Ambler 1,,1,0,1,1,1609,0.86,2,2,Attorney General,,1,6,JOSH SHAPIRO,C,5,DEM,1386,944,24,0,655,351,8,0,715,579,16,0,0,0,0,0,16,14,0,0
Ambler 1,,1,0,1,1,1609,0.86,2,2,Attorney General,,1,7,HEATHER HEIDELBAUGH,C,6,REP,1386,377,24,0,655,273,8,0,715,102,16,0,0,0,0,0,16,2,0,0
Ambler 1,,1,0,1,1,1609,0.86,2,2,Attorney General,,1,8,DANIEL WASSMER,C,7,LIB,1386,18,24,0,655,14,8,0,715,4,16,0,0,0,0,0,16,0,0,0
Ambler 1,,1,0,1,1,1609,0.86,2,2,Attorney General,,1,9,RICHARD L WEISS,C,8,GRE,1386,23,24,0,655,9,8,0,715,14,16,0,0,0,0,0,16,0,0,0
Ambler 1,,1,0,1,1,1609,0.86,3,3,Auditor General,,1,11,NINA AHMAD,C,10,DEM,1386,869,35,0,655,312,12,0,715,545,23,0,0,0,0,0,16,12,0,0
Ambler 1,,1,0,1,1,1609,0.86,3,3,Auditor General,,1,12,TIMOTHY DEFOOR,C,11,REP,1386,416,35,0,655,296,12,0,715,117,23,0,0,0,0,0,16,3,0,0
Ambler 1,,1,0,1,1,1609,0.86,3,3,Auditor General,,1,13,JENNIFER MOORE,C,12,LIB,1386,32,35,0,655,19,12,0,715,12,23,0,0,0,0,0,16,1,0,0
Ambler 1,,1,0,1,1,1609,0.86,3,3,Auditor General,,1,14,OLIVIA FAISON,C,13,GRE,1386,34,35,0,655,16,12,0,715,18,23,0,0,0,0,0,16,0,0,0
Ambler 1,,1,0,1,1,1609,0.86,4,4,State Treasurer,,1,16,JOE TORSELLA,C,15,DEM,1386,906,29,0,655,333,9,0,715,559,20,0,0,0,0,0,16,14,0,0
Ambler 1,,1,0,1,1,1609,0.86,4,4,State Treasurer,,1,17,STACY L GARRITY,C,16,REP,1386,392,29,0,655,276,9,0,715,114,20,0,0,0,0,0,16,2,0,0
Ambler 1,,1,0,1,1,1609,0.86,4,4,State Treasurer,,1,18,JOE SOLOSKI,C,17,LIB,1386,29,29,0,655,22,9,0,715,7,20,0,0,0,0,0,16,0,0,0
Ambler 1,,1,0,1,1,1609,0.86,4,4,State Treasurer,,1,19,TIMOTHY RUNKLE,C,18,GRE,1386,30,29,0,655,15,9,0,715,15,20,0,0,0,0,0,16,0,0,0
Ambler 1,,1,0,1,1,1609,0.86,6,6,Representative in Congress 4th District,,1,24,MADELEINE DEAN,C,23,DEM,1386,932,17,0,655,339,7,0,715,581,10,0,0,0,0,0,16,12,0,0
Ambler 1,,1,0,1,1,1609,0.86,6,6,Representative in Congress 4th District,,1,25,KATHY BARNETTE,C,24,REP,1386,435,17,0,655,308,7,0,715,123,10,0,0,0,0,0,16,4,0,0
Ambler 1,,1,0,1,1,1609,0.86,17,17,Representative in the General Assembly 148th District,,1,57,MARY JO DALEY,C,56,DEM,1386,956,29,0,655,352,11,0,715,590,18,0,0,0,0,0,16,14,0,0
Ambler 1,,1,0,1,1,1609,0.86,17,17,Representative in the General Assembly 148th District,,1,58,ALLEN ARTHUR ANDERSON,C,57,REP,1386,400,29,0,655,291,11,0,715,107,18,0,0,0,0,0,16,2,0,0
Ambler 2,,1,0,2,2,1561,0.83,1,1,Presidential Electors,,1,1,JOSEPH R BIDEN,C,1,DEM,1301,925,3,1,705,401,1,0,586,515,2,1,0,0,0,0,10,9,0,0
Ambler 2,,1,0,2,2,1561,0.83,1,1,Presidential Electors,,1,2,DONALD J TRUMP,C,2,REP,1301,348,3,1,705,288,1,0,586,59,2,1,0,0,0,0,10,1,0,0
Ambler 2,,1,0,2,2,1561,0.83,1,1,Presidential Electors,,1,3,JO JORGENSEN,C,3,LIB,1301,20,3,1,705,14,1,0,586,6,2,1,0,0,0,0,10,0,0,0
Ambler 2,,1,0,2,2,1561,0.83,2,2,Attorney General,,1,6,JOSH SHAPIRO,C,5,DEM,1299,905,21,0,705,398,15,0,584,498,6,0,0,0,0,0,10,9,0,0
Ambler 2,,1,0,2,2,1561,0.83,2,2,Attorney General,,1,7,HEATHER HEIDELBAUGH,C,6,REP,1299,329,21,0,705,259,15,0,584,69,6,0,0,0,0,0,10,1,0,0
Ambler 2,,1,0,2,2,1561,0.83,2,2,Attorney General,,1,8,DANIEL WASSMER,C,7,LIB,1299,28,21,0,705,21,15,0,584,7,6,0,0,0,0,0,10,0,0,0
Ambler 2,,1,0,2,2,1561,0.83,2,2,Attorney General,,1,9,RICHARD L WEISS,C,8,GRE,1299,15,21,0,705,11,15,0,584,4,6,0,0,0,0,0,10,0,0,0
Ambler 2,,1,0,2,2,1561,0.83,3,3,Auditor General,,1,11,NINA AHMAD,C,10,DEM,1299,827,31,0,705,358,20,0,584,462,10,0,0,0,0,0,10,7,1,0
Ambler 2,,1,0,2,2,1561,0.83,3,3,Auditor General,,1,12,TIMOTHY DEFOOR,C,11,REP,1299,362,31,0,705,271,20,0,584,90,10,0,0,0,0,0,10,1,1,0
Ambler 2,,1,0,2,2,1561,0.83,3,3,Auditor General,,1,13,JENNIFER MOORE,C,12,LIB,1299,46,31,0,705,34,20,0,584,11,10,0,0,0,0,0,10,1,1,0
Ambler 2,,1,0,2,2,1561,0.83,3,3,Auditor General,,1,14,OLIVIA FAISON,C,13,GRE,1299,31,31,0,705,20,20,0,584,11,10,0,0,0,0,0,10,0,1,0
Ambler 2,,1,0,2,2,1561,0.83,4,4,State Treasurer,,1,16,JOE TORSELLA,C,15,DEM,1299,867,27,0,705,381,18,0,584,478,8,0,0,0,0,0,10,8,1,0
Ambler 2,,1,0,2,2,1561,0.83,4,4,State Treasurer,,1,17,STACY L GARRITY,C,16,REP,1299,348,27,0,705,266,18,0,584,81,8,0,0,0,0,0,10,1,1,0
Ambler 2,,1,0,2,2,1561,0.83,4,4,State Treasurer,,1,18,JOE SOLOSKI,C,17,LIB,1299,35,27,0,705,27,18,0,584,8,8,0,0,0,0,0,10,0,1,0
Ambler 2,,1,0,2,2,1561,0.83,4,4,State Treasurer,,1,19,TIMOTHY RUNKLE,C,18,GRE,1299,19,27,0,705,11,18,0,584,8,8,0,0,0,0,0,10,0,1,0
Ambler 2,,1,0,2,2,1561,0.83,6,6,Representative in Congress 4th District,,1,24,MADELEINE DEAN,C,23,DEM,1301,895,26,0,705,386,21,0,586,500,5,0,0,0,0,0,10,9,0,0
Ambler 2,,1,0,2,2,1561,0.83,6,6,Representative in Congress 4th District,,1,25,KATHY BARNETTE,C,24,REP,1301,379,26,0,705,297,21,0,586,81,5,0,0,0,0,0,10,1,0,0
Ambler 2,,1,0,2,2,1561,0.83,17,17,Representative in the General Assembly 148th District,,1,57,MARY JO DALEY,C,56,DEM,1299,922,33,0,705,406,24,0,584,507,9,0,0,0,0,0,10,9,0,0
Ambler 2,,1,0,2,2,1561,0.83,17,17,Representative in the General Assembly 148th District,,1,58,ALLEN ARTHUR ANDERSON,C,57,REP,1299,341,33,0,705,272,24,0,584,68,9,0,0,0,0,0,10,1,0,0
Ambler 3,,1,0,3,3,1377,0.83,1,1,Presidential Electors,,1,1,JOSEPH R BIDEN,C,1,DEM,1146,818,1,0,630,362,1,0,514,456,0,0,0,0,0,0,2,0,0,0
Ambler 3,,1,0,3,3,1377,0.83,1,1,Presidential Electors,,1,2,DONALD J TRUMP,C,2,REP,1146,313,1,0,630,259,1,0,514,52,0,0,0,0,0,0,2,2,0,0
Ambler 3,,1,0,3,3,1377,0.83,1,1,Presidential Electors,,1,3,JO JORGENSEN,C,3,LIB,1146,9,1,0,630,5,1,0,514,4,0,0,0,0,0,0,2,0,0,0
Ambler 3,,1,0,3,3,1377,0.83,2,2,Attorney General,,1,6,JOSH SHAPIRO,C,5,DEM,1146,808,20,0,630,371,11,0,514,437,9,0,0,0,0,0,2,0,0,0
Ambler 3,,1,0,3,3,1377,0.83,2,2,Attorney General,,1,7,HEATHER HEIDELBAUGH,C,6,REP,1146,279,20,0,630,223,11,0,514,54,9,0,0,0,0,0,2,2,0,0
Ambler 3,,1,0,3,3,1377,0.83,2,2,Attorney General,,1,8,DANIEL WASSMER,C,7,LIB,1146,22,20,0,630,16,11,0,514,6,9,0,0,0,0,0,2,0,0,0
Ambler 3,,1,0,3,3,1377,0.83,2,2,Attorney General,,1,9,RICHARD L WEISS,C,8,GRE,1146,16,20,0,630,8,11,0,514,8,9,0,0,0,0,0,2,0,0,0
Ambler 3,,1,0,3,3,1377,0.83,3,3,Auditor General,,1,11,NINA AHMAD,C,10,DEM,1146,760,33,0,630,337,18,0,514,423,15,0,0,0,0,0,2,0,0,0
Ambler 3,,1,0,3,3,1377,0.83,3,3,Auditor General,,1,12,TIMOTHY DEFOOR,C,11,REP,1146,296,33,0,630,237,18,0,514,57,15,0,0,0,0,0,2,2,0,0
Ambler 3,,1,0,3,3,1377,0.83,3,3,Auditor General,,1,13,JENNIFER MOORE,C,12,LIB,1146,41,33,0,630,31,18,0,514,10,15,0,0,0,0,0,2,0,0,0
Ambler 3,,1,0,3,3,1377,0.83,3,3,Auditor General,,1,14,OLIVIA FAISON,C,13,GRE,1146,14,33,0,630,7,18,0,514,7,15,0,0,0,0,0,2,0,0,0
Ambler 3,,1,0,3,3,1377,0.83,4,4,State Treasurer,,1,16,JOE TORSELLA,C,15,DEM,1146,781,29,0,630,354,17,0,514,427,12,0,0,0,0,0,2,0,0,0
Ambler 3,,1,0,3,3,1377,0.83,4,4,State Treasurer,,1,17,STACY L GARRITY,C,16,REP,1146,291,29,0,630,231,17,0,514,58,12,0,0,0,0,0,2,2,0,0
Ambler 3,,1,0,3,3,1377,0.83,4,4,State Treasurer,,1,18,JOE SOLOSKI,C,17,LIB,1146,30,29,0,630,24,17,0,514,6,12,0,0,0,0,0,2,0,0,0
Ambler 3,,1,0,3,3,1377,0.83,4,4,State Treasurer,,1,19,TIMOTHY RUNKLE,C,18,GRE,1146,15,29,0,630,4,17,0,514,11,12,0,0,0,0,0,2,0,0,0
Ambler 3,,1,0,3,3,1377,0.83,6,6,Representative in Congress 4th District,,1,24,MADELEINE DEAN,C,23,DEM,1146,804,23,0,630,349,14,0,514,455,9,0,0,0,0,0,2,0,0,0
Ambler 3,,1,0,3,3,1377,0.83,6,6,Representative in Congress 4th District,,1,25,KATHY BARNETTE,C,24,REP,1146,318,23,0,630,267,14,0,514,49,9,0,0,0,0,0,2,2,0,0
Ambler 3,,1,0,3,3,1377,0.83,17,17,Representative in the General Assembly 148th District,,1,57,MARY JO DALEY,C,56,DEM,1146,827,26,0,630,373,15,0,514,454,11,0,0,0,0,0,2,0,0,0
Ambler 3,,1,0,3,3,1377,0.83,17,17,Representative in the General Assembly 148th District,,1,58,ALLEN ARTHUR ANDERSON,C,57,REP,1146,293,26,0,630,242,15,0,514,49,11,0,0,0,0,0,2,2,0,0
Bridgeport 1,,1,0,4,4,861,0.71,1,1,Presidential Electors,,1,1,JOSEPH R BIDEN,C,1,DEM,611,417,1,0,389,231,1,0,222,186,0,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,1,1,Presidential Electors,,1,2,DONALD J TRUMP,C,2,REP,611,186,1,0,389,152,1,0,222,34,0,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,1,1,Presidential Electors,,1,3,JO JORGENSEN,C,3,LIB,611,3,1,0,389,2,1,0,222,1,0,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,2,2,Attorney General,,1,6,JOSH SHAPIRO,C,5,DEM,611,399,12,1,389,226,11,1,222,173,1,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,2,2,Attorney General,,1,7,HEATHER HEIDELBAUGH,C,6,REP,611,167,12,1,389,132,11,1,222,35,1,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,2,2,Attorney General,,1,8,DANIEL WASSMER,C,7,LIB,611,18,12,1,389,14,11,1,222,4,1,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,2,2,Attorney General,,1,9,RICHARD L WEISS,C,8,GRE,611,14,12,1,389,5,11,1,222,9,1,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,3,3,Auditor General,,1,11,NINA AHMAD,C,10,DEM,611,372,19,0,389,210,17,0,222,162,2,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,3,3,Auditor General,,1,12,TIMOTHY DEFOOR,C,11,REP,611,179,19,0,389,136,17,0,222,43,2,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,3,3,Auditor General,,1,13,JENNIFER MOORE,C,12,LIB,611,26,19,0,389,20,17,0,222,6,2,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,3,3,Auditor General,,1,14,OLIVIA FAISON,C,13,GRE,611,15,19,0,389,6,17,0,222,9,2,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,4,4,State Treasurer,,1,16,JOE TORSELLA,C,15,DEM,611,400,17,0,389,225,14,0,222,175,3,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,4,4,State Treasurer,,1,17,STACY L GARRITY,C,16,REP,611,154,17,0,389,123,14,0,222,31,3,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,4,4,State Treasurer,,1,18,JOE SOLOSKI,C,17,LIB,611,25,17,0,389,20,14,0,222,5,3,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,4,4,State Treasurer,,1,19,TIMOTHY RUNKLE,C,18,GRE,611,15,17,0,389,7,14,0,222,8,3,0,0,0,0,0,0,0,0,0
